Unnamed: 0,month,country,site,category,popularity,cookies,bad_qs,tracked,https,requests,requests_tracking,content_length,requests_failed,has_blocking,script,iframe,beacon,image,stylesheet,font,xhr,plugin,media,referer_leaked,referer_leaked_header,referer_leaked_url,cookie_samesite_none,t_active,hosts,trackers,companies,registered_country,country_id
9204,2025-01,global,klubzaodrasle.com,Uncategorized,7.776898519966999e-05,0.0085820014172112,0.0029918904023305,0.0115738918195417,1.0,10.224706716006612,0.3290292102984017,20360.43752460436,2.3964254783087946,0.0,0.997716715219274,0.032044720888119,0.001259743327297,0.1213290292102984,0.3090307849775608,0.2898984331942367,0.9772458861506969,0.0,0.0079521297535627,0.1216439650421226,0.0057475789307928,0.1155027163215494,0.0079521297535627,25093.97267931659,4.179041020392095,3.952208487520668,3.122352570663727,IS,ISL
9208,2025-01,global,carsandbids.com,Uncategorized,7.772000071958201e-05,0.0802016859686441,0.3292365870952493,0.3793429449302765,1.0,18.116363349877886,1.0539667533286063,97493.52540770503,6.033876940045695,0.0,0.9879461120302528,0.3568108406208146,0.4258252580162294,0.7894902702276846,0.6903017411171511,0.2110612148428267,0.793508232884267,0.0,7.878358150161507e-05,0.3322303631923107,0.101709603718585,0.1206964468604742,0.0512881115575514,105514.62254786104,5.109036476798235,5.250531789175136,3.024659261010006,US,USA
9210,2025-01,global,kurashiru.com,Uncategorized,7.770775459956002e-05,0.0691040895122527,0.0427862264596958,0.102592388306674,0.998187692065243,91.80616184697816,3.5107556536127964,107677.09920416043,18.699944842801987,0.0,0.958789693483571,0.3129777007328028,0.1464029627294933,0.3342526199669057,0.3311795760775353,0.1280434953904341,0.9275864786068868,0.0001575919943266,0.1791820975494444,0.2547474588290915,0.0086675596879678,0.0468836183121897,0.0543692380427074,59232.41777637696,12.96863919312899,11.162477346150816,7.14206918288551,JP,JPN
9212,2025-01,global,zoechip.com,Uncategorized,7.770163153954902e-05,0.415445232466509,0.2416863672182821,0.6357762017336486,0.9998423955870764,93.94381402679277,2.494956658786446,7165419.155476754,12.239322301024428,0.0,0.9881796690307328,0.976201733648542,0.021197793538219,0.981245074862096,0.6368794326241135,0.6116627265563436,0.7078014184397163,0.0019700551615445,0.0008668242710795,0.2993695823483057,0.1093774625689519,0.1673758865248227,0.0339637509850275,143533.85405831362,12.029550827423169,8.6548463356974,6.19070133963751,IS,ISL
9213,2025-01,global,twinkaboo.com,Uncategorized,7.769550847953802e-05,0.0006304673339112,0.0,0.0006304673339112,0.9999211915832612,18.54401450074868,0.0007092757506501,795932.4189455434,5.016707384348648,0.0,0.9987390653321776,0.0026006777523839,0.0036251871699897,0.0166285759319095,0.1230987469461738,0.0033099535030341,0.0352273622822917,0.0,0.0002364252502167,0.0015761683347781,0.0001576168334778,0.0014185515013003,0.0003940420836945,43524.59311214438,3.7560879501930806,3.733548743005753,3.702498226810624,SE,SWE
9216,2025-01,global,runrepeat.com,Uncategorized,7.768938541952703e-05,0.0704602774274905,0.1420239596469104,0.182061790668348,0.99984237074401,34.05879571248424,2.581809583858764,43519.691913619165,14.00717213114754,0.0,0.9911727616645648,0.3207755359394704,0.17843631778058,0.2057849936948297,0.0439785624211853,0.0264029003783102,0.5613177805800756,0.0002364438839848,0.0009457755359394,0.3393757881462799,0.005201765447667,0.3332282471626734,0.0679382093316519,62351.135482345526,10.148644388398488,8.59174022698613,7.625945775535939,DK,DNK
9218,2025-01,global,l-tike.com,Uncategorized,7.767713929950503e-05,0.0254611382626517,0.0441431499290556,0.0658205896263597,0.9996058647327762,13.966971464606653,0.9964527825949866,89445.91762572915,2.8659151820904936,0.0,0.993615008670976,0.2835409112407378,0.083162541384203,0.3518051395238846,0.1937568973671764,0.1284092700614851,0.3365915182090493,0.0,0.0,0.2789689421409427,0.0093804193599243,0.1912344316569446,0.0118240580167113,33844.56731830364,4.359214882547691,4.05667665142677,2.890824530979032,JP,JPN
9221,2025-01,global,gamezfull.com,Uncategorized,7.764652399945005e-05,0.0361170254711773,0.0108824225218831,0.0469205898588439,0.9853323870357228,25.792918539547355,0.1152905922245879,213206.10543332543,1.5464080119864363,0.0,0.7542780537812476,0.0477880293352259,0.023184291459664,0.8277738348710669,0.1954104565885971,0.1877612175695923,0.0670294140840627,0.0,0.0,0.0734169229556028,0.0487343269458244,0.0008674394763819,0.0123807270719974,25498.93028940936,3.788739058433877,3.763898746155666,2.0559892752937468,NZ,NZL
9222,2025-01,global,eonline.com,Entertainment,7.764652399945005e-05,0.449885655705386,0.0928948821070893,0.5042977683148017,0.999132560523618,99.96546013721316,4.187603501301159,13052444.452172542,29.49444050153773,0.0,0.9853323870357228,0.1007018373945272,0.3152748205977446,0.9623846699787084,0.8287201324816655,0.8267486791262518,0.9825723523381436,0.0,0.0309912467471019,0.1534579291853954,0.0437662644901821,0.0866650895039823,0.4495702231685198,86261.49585994796,21.592066871697817,15.583077044397127,13.152196199037933,US,USA
9225,2025-01,global,camper.com,Uncategorized,7.764652399945005e-05,0.5192019556817286,0.0631653655074521,0.5614699156217964,1.0,13.869332071603186,1.6748679126251873,196447.9357306206,1.4820597744657362,0.0,0.8410220014194464,0.81720684488605,0.1186814919958993,0.4625818153142497,0.1100070972320794,0.0413216623294692,0.9990537023894016,0.0,0.0084378203611702,0.1862629130194779,7.885813421654444e-05,0.0712088951975396,0.5158110559104172,42535.15101332703,4.027206056304708,3.5644665247220253,3.0199511079567856,ES,ESP
9226,2025-01,global,evojav.pro,Uncategorized,7.764040093943906e-05,0.2772870662460567,0.0979495268138801,0.304179810725552,1.0,35.31545741324921,2.723659305993691,129448840.83312304,10.103627760252364,0.0,0.9977129337539432,0.7496845425867508,0.0487381703470031,0.9560725552050472,0.3082807570977918,0.2503154574132492,0.5904574132492113,0.0,0.1033123028391167,0.0065457413249211,0.0044164037854889,0.0021293375394321,0.1201892744479495,32100.756072555207,7.5100946372239745,3.540615141955836,2.499842271293375,US,USA
